sample	sub_Drosophila_ananassae_2	sub_Drosophila_biarmipes_2	sub_Drosophila_bipectinata_2	sub_Drosophila_erecta_2	sub_Drosophila_eugracilis_2	sub_Drosophila_mauritiana_2	sub_Drosophila_mojavensis_2	sub_Drosophila_persimilis_2	sub_Drosophila_pseudoobscura_2	sub_Drosophila_sechellia_2	sub_Drosophila_simulans_2	sub_Drosophila_virilis_2	sub_Drosophila_willistoni_2	sub_Drosophila_yakuba_2
sub_Drosophila_ananassae_2	0.0	0.11034679271345726	0.06641725128438636	0.12445371044417775	0.11145401008248601	0.12193176726500032	0.16229086256163583	0.13572041856158967	0.14031952563176553	0.10499581029061755	0.12300607408862396	0.1450731240310057	0.1516019785755629	0.12470650263234662
sub_Drosophila_biarmipes_2	0.11034679271345726	0.0	0.10671362016542885	0.09749305139767894	0.08948892081762283	0.09557577704320008	0.1599021578787987	0.13484286535524537	0.1359122856859395	0.09809366639514983	0.09479429901962577	0.15119651531793188	0.15275359253771703	0.0986335670511298
sub_Drosophila_bipectinata_2	0.06641725128438636	0.10671362016542885	0.0	0.11297483905698302	0.08871754089705519	0.1029083715795025	0.15124604673924202	0.10260262481909244	0.12661059421149135	0.10680198468105495	0.11754694113416086	0.0885977877842502	0.12154858226992693	0.11578955339002717
sub_Drosophila_erecta_2	0.12445371044417775	0.09749305139767894	0.11297483905698302	0.0	0.09231195270006487	0.06119407087729811	0.15920987523218633	0.13416476920311893	0.13489825231143482	0.0643696762015099	0.06070010165405104	0.14607001599182	0.15107866275043758	0.05852285800839563
sub_Drosophila_eugracilis_2	0.11145401008248601	0.08948892081762283	0.08871754089705519	0.09231195270006487	0.0	0.08634521235496129	0.15072406782057413	0.11301161880159949	0.12492921335904661	0.0898254097058695	0.09033053754933984	0.10147819598857566	0.11923200415977842	0.09280694306292625
sub_Drosophila_mauritiana_2	0.12193176726500032	0.09557577704320008	0.1029083715795025	0.06119407087729811	0.08634521235496129	0.0	0.15272242419619664	0.11585069823267014	0.12522457060874226	0.019868629953443073	0.016309438996461867	0.1032667836965554	0.1375537882831791	0.06076964009780328
sub_Drosophila_mojavensis_2	0.16229086256163583	0.1599021578787987	0.15124604673924202	0.15920987523218633	0.15072406782057413	0.15272242419619664	0.0	0.1331403511056818	0.13994114413311443	0.15381588940756374	0.15873081255292032	0.11286968964806188	0.15201403628722954	0.15862136314535802
sub_Drosophila_persimilis_2	0.13572041856158967	0.13484286535524537	0.10260262481909244	0.13416476920311893	0.11301161880159949	0.11585069823267014	0.1331403511056818	0.0	0.013729338622725407	0.11878034219101052	0.13387696964060503	0.0973277180704527	0.1360595892497054	0.13118380076603275
sub_Drosophila_pseudoobscura_2	0.14031952563176553	0.1359122856859395	0.12661059421149135	0.13489825231143482	0.12492921335904661	0.12522457060874226	0.13994114413311443	0.013729338622725407	0.0	0.12339220377964089	0.13019087788081085	0.12506725681612307	0.14879689439392108	0.13367414288118118
sub_Drosophila_sechellia_2	0.10499581029061755	0.09809366639514983	0.10680198468105495	0.0643696762015099	0.0898254097058695	0.019868629953443073	0.15381588940756374	0.11878034219101052	0.12339220377964089	0.0	0.018537642579017244	0.10648175821576866	0.13644677846369013	0.06330085589812617
sub_Drosophila_simulans_2	0.12300607408862396	0.09479429901962577	0.11754694113416086	0.06070010165405104	0.09033053754933984	0.016309438996461867	0.15873081255292032	0.13387696964060503	0.13019087788081085	0.018537642579017244	0.0	0.1539154622518336	0.15043939517230875	0.0603011100824038
sub_Drosophila_virilis_2	0.1450731240310057	0.15119651531793188	0.0885977877842502	0.14607001599182	0.10147819598857566	0.1032667836965554	0.11286968964806188	0.0973277180704527	0.12506725681612307	0.10648175821576866	0.1539154622518336	0.0	0.11444202167647077	0.13433678044438102
sub_Drosophila_willistoni_2	0.1516019785755629	0.15275359253771703	0.12154858226992693	0.15107866275043758	0.11923200415977842	0.1375537882831791	0.15201403628722954	0.1360595892497054	0.14879689439392108	0.13644677846369013	0.15043939517230875	0.11444202167647077	0.0	0.12367011172667897
sub_Drosophila_yakuba_2	0.12470650263234662	0.0986335670511298	0.11578955339002717	0.05852285800839563	0.09280694306292625	0.06076964009780328	0.15862136314535802	0.13118380076603275	0.13367414288118118	0.06330085589812617	0.0603011100824038	0.13433678044438102	0.12367011172667897	0.0
