sample	ucseq_ucseq_sub_Drosophila_ananassae_2	ucseq_ucseq_sub_Drosophila_biarmipes_2	ucseq_ucseq_sub_Drosophila_bipectinata_2	ucseq_ucseq_sub_Drosophila_erecta_2	ucseq_ucseq_sub_Drosophila_eugracilis_2	ucseq_ucseq_sub_Drosophila_mauritiana_2	ucseq_ucseq_sub_Drosophila_mojavensis_2	ucseq_ucseq_sub_Drosophila_persimilis_2	ucseq_ucseq_sub_Drosophila_pseudoobscura_2	ucseq_ucseq_sub_Drosophila_sechellia_2	ucseq_ucseq_sub_Drosophila_simulans_2	ucseq_ucseq_sub_Drosophila_virilis_2	ucseq_ucseq_sub_Drosophila_willistoni_2	ucseq_ucseq_sub_Drosophila_yakuba_2
ucseq_ucseq_sub_Drosophila_ananassae_2	0.0	0.10978611315447973	0.06461127633141717	0.12500971719077492	0.11251124569577775	0.12394175697575227	0.16990979354948677	0.14120872077950652	0.14445630364745965	0.12511900783372965	0.12327531137266812	0.16615353321573312	0.16275854888598074	0.12588329121363062
ucseq_ucseq_sub_Drosophila_biarmipes_2	0.10978611315447973	0.0	0.10774776659483698	0.09905105445530515	0.09079696297297146	0.09691020576922926	0.16821185381271353	0.14065376865505785	0.14007396533869176	0.09951845249512237	0.09618805983620526	0.1648553167419784	0.1622499742409198	0.10025366087051613
ucseq_ucseq_sub_Drosophila_bipectinata_2	0.06461127633141717	0.10774776659483698	0.0	0.11567436581075585	0.10683379858585595	0.11973293252674644	0.16821622728940155	0.12687359390509378	0.14111268459003012	0.12180419599742776	0.11952781709125637	0.15833854213488352	0.15872333414444117	0.12215735287655283
ucseq_ucseq_sub_Drosophila_erecta_2	0.12500971719077492	0.09905105445530515	0.11567436581075585	0.0	0.0943878961877086	0.06205285170387875	0.16801985995294022	0.1414574495126767	0.14007992784186374	0.06525942925569939	0.06156305081887126	0.16494285124327757	0.1595406667553626	0.05949444159931472
ucseq_ucseq_sub_Drosophila_eugracilis_2	0.11251124569577775	0.09079696297297146	0.10683379858585595	0.0943878961877086	0.0	0.09245156747927352	0.1654413937099246	0.13592261952190998	0.1354749833854061	0.09539553292096792	0.09192286604068955	0.16206185869992418	0.15649410312336065	0.09584618260023503
ucseq_ucseq_sub_Drosophila_mauritiana_2	0.12394175697575227	0.09691020576922926	0.11973293252674644	0.06205285170387875	0.09245156747927352	0.0	0.16555926868657556	0.13730997237564535	0.13388793871422355	0.02007051027857254	0.016292071715417134	0.15487793808624484	0.15667068014830166	0.06184733195759273
ucseq_ucseq_sub_Drosophila_mojavensis_2	0.16990979354948677	0.16821185381271353	0.16821622728940155	0.16801985995294022	0.1654413937099246	0.16555926868657556	0.0	0.13996712018883806	0.14551292138722427	0.16481598372764694	0.16639255105847506	0.12284667015772655	0.16654433737026464	0.16810521158292635
ucseq_ucseq_sub_Drosophila_persimilis_2	0.14120872077950652	0.14065376865505785	0.12687359390509378	0.1414574495126767	0.13592261952190998	0.13730997237564535	0.13996712018883806	0.0	0.01393410325661093	0.13849467786868774	0.13916702420388083	0.14976582520017356	0.1655902389077295	0.14114777963784175
ucseq_ucseq_sub_Drosophila_pseudoobscura_2	0.14445630364745965	0.14007396533869176	0.14111268459003012	0.14007992784186374	0.1354749833854061	0.13388793871422355	0.14551292138722427	0.01393410325661093	0.0	0.13060774803741504	0.1337893654551876	0.15598255598803135	0.16614750327254102	0.13939523967970402
ucseq_ucseq_sub_Drosophila_sechellia_2	0.12511900783372965	0.09951845249512237	0.12180419599742776	0.06525942925569939	0.09539553292096792	0.02007051027857254	0.16481598372764694	0.13849467786868774	0.13060774803741504	0.0	0.01851891384933957	0.14712394122724193	0.15365892313675245	0.06433863069919477
ucseq_ucseq_sub_Drosophila_simulans_2	0.12327531137266812	0.09618805983620526	0.11952781709125637	0.06156305081887126	0.09192286604068955	0.016292071715417134	0.16639255105847506	0.13916702420388083	0.1337893654551876	0.01851891384933957	0.0	0.16604498496589226	0.15737038641690593	0.06117845488179152
ucseq_ucseq_sub_Drosophila_virilis_2	0.16615353321573312	0.1648553167419784	0.15833854213488352	0.16494285124327757	0.16206185869992418	0.15487793808624484	0.12284667015772655	0.14976582520017356	0.15598255598803135	0.14712394122724193	0.16604498496589226	0.0	0.1484947717748515	0.16057815600247927
ucseq_ucseq_sub_Drosophila_willistoni_2	0.16275854888598074	0.1622499742409198	0.15872333414444117	0.1595406667553626	0.15649410312336065	0.15667068014830166	0.16654433737026464	0.1655902389077295	0.16614750327254102	0.15365892313675245	0.15737038641690593	0.1484947717748515	0.0	0.12801653849046668
ucseq_ucseq_sub_Drosophila_yakuba_2	0.12588329121363062	0.10025366087051613	0.12215735287655283	0.05949444159931472	0.09584618260023503	0.06184733195759273	0.16810521158292635	0.14114777963784175	0.13939523967970402	0.06433863069919477	0.06117845488179152	0.16057815600247927	0.12801653849046668	0.0
