Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
FR903868.1-98447,150,2.34167,28890,279,1224,2,0.992883
FR903877.1-906677,150,2.43333,28890,291,1224,1,0.996575
FR903859.1-69715,150,2.98333,28890,358,NA,0,1
FR903867.1-58168,150,2.925,28890,350,1224,1,0.997151
FR903873.1-427660,150,2.4,28890,287,201174,1,0.996528
FR903870.1-807870,150,2.66667,28890,318,57723,1,0.996865
FR903877.1-133976,150,2.86667,28890,342,1752722,2,0.994186
FR903873.1-164531,150,2.39167,28890,285,1752732,1,0.996503
FR903878.1-681820,150,1.49167,28890,179,NA,0,1
FR903849.1-43809,150,2.975,28890,357,NA,0,1
FR903867.1-158436,150,1.73333,28890,207,201174,1,0.995192
FR903867.1-267253,150,2.40833,28890,283,201174,3,0.98951
FR903867.1-455518,150,2.175,28890,261,NA,0,1
FR903863.1-24056,150,2.85833,28890,341,201174,1,0.997076
FR903872.1-20041,150,0.00833333,NA,1,NA,0,1
FR903867.1-237264,150,1.975,28890,234,1224,2,0.991525
FR903877.1-217220,150,2.91667,28890,348,1224,1,0.997135
FR903876.1-326951,150,2.11667,28890,251,201174,2,0.992095
FR903850.1-69022,150,2.3,28890,266,976,5,0.98155
FR903858.1-22859,150,2.1,28890,251,201174,1,0.996032
FR903851.1-33460,150,0.05,NA,4,976,1,0.8
FR903876.1-542305,150,2.99167,28890,359,NA,0,1
FR903877.1-1006794,150,2.20833,28890,263,1224,1,0.996212
FR903877.1-723300,150,2.38333,28890,284,201174,2,0.993007
FR903849.1-21759,150,2.29167,28890,275,NA,0,1
FR903873.1-583714,150,1.78333,28890,214,NA,0,1
FR903872.1-463249,150,2.61667,28890,312,1224,1,0.996805
FR903863.1-266453,150,2.19167,28890,261,1752732,2,0.992395
FR903873.1-90211,150,2.95833,28890,354,201174,1,0.997183
FR903856.1-249070,150,1.8,28890,213,201174,2,0.990698
FR903870.1-66859,150,2.89167,28890,344,201174,2,0.99422
