Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
MTLP01000031.1-404392,150,0.025,NA,1,1117,1,0.5
MTLP01000028.1-135402,150,0.0583333,NA,2,1117,1,0.666667
MTLP01000042.1-697088,150,0.0416667,NA,4,1239,1,0.8
MTLP01000031.1-519793,150,0.125,28890,13,28889,1,0.928571
MTLP01000009.1-711607,150,0.0416667,NA,2,32066,1,0.666667
MTLP01000032.1-555643,150,0.0333333,NA,2,28890,1,0.666667
MTLP01000002.1-22264,150,0.0166667,NA,1,976,1,0.5
MTLP01000009.1-449683,150,0.116667,28890,9,976,2,0.818182
MTLP01000036.1-392481,150,0.0333333,NA,2,1224,1,0.666667
MTLP01000014.1-91806,150,0.025,NA,2,28890,1,0.666667
MTLP01000011.1-137052,150,0.0166667,NA,1,1224,1,0.5
MTLP01000031.1-727477,150,0.191667,NA,10,28890,7,0.588235
MTLP01000039.1-377328,150,0.075,NA,3,1224,2,0.6
MTLP01000006.1-130896,150,0.0333333,NA,3,1239,1,0.75
MTLP01000007.1-147110,150,0.00833333,NA,1,NA,0,1
MTLP01000003.1-200021,150,0.00833333,NA,1,NA,0,1
MTLP01000002.1-105342,150,0.0666667,NA,4,1224,3,0.571429
MTLP01000022.1-506502,150,0.3,28890,35,1239,1,0.972222
MTLP01000042.1-1917022,150,0.0583333,NA,4,976,2,0.666667
MTLP01000042.1-769232,150,1.00833,28890,119,1239,1,0.991667
MTLP01000042.1-1840460,150,0.00833333,NA,1,NA,0,1
MTLP01000022.1-721465,150,0.0333333,NA,2,1239,1,0.666667
MTLP01000028.1-235318,150,0.116667,NA,7,976,5,0.583333
MTLP01000002.1-610417,150,0.025,NA,1,1117,1,0.5
MTLP01000042.1-2058759,150,0,NA,0,NA,0,0
MTLP01000043.1-25222,150,0.00833333,NA,1,NA,0,1
MTLP01000007.1-582999,150,0.05,NA,3,203691,1,0.75
MTLP01000012.1-1378545,150,0.1,28890,7,976,1,0.875
MTLP01000009.1-375723,150,0,NA,0,NA,0,0
MTLP01000006.1-306100,150,0.358333,28890,42,1224,1,0.976744
MTLP01000007.1-781455,150,0.0916667,NA,4,976,3,0.571429
MTLP01000012.1-487089,150,0.0416667,NA,1,1117,1,0.5
MTLP01000014.1-157644,150,0.075,NA,4,1239,4,0.5
MTLP01000022.1-332051,150,0.0166667,NA,2,NA,0,1
MTLP01000031.1-961958,150,0.0583333,NA,3,1239,1,0.75
MTLP01000010.1-32013,150,0,NA,0,NA,0,0
MTLP01000031.1-988039,150,0.1,28890,9,1239,2,0.818182
MTLP01000038.1-86726,150,0.05,NA,3,1239,2,0.6
MTLP01000015.1-113781,150,0.025,NA,1,1802339,1,0.5
MTLP01000022.1-505186,150,0.1,NA,6,1239,3,0.666667
MTLP01000031.1-653675,150,0.0833333,28890,10,NA,0,1
MTLP01000036.1-197414,150,0.00833333,NA,1,NA,0,1
MTLP01000007.1-226531,150,0.216667,28890,22,1239,2,0.916667
MTLP01000012.1-604384,150,0.158333,NA,7,28890,6,0.538462
MTLP01000007.1-219433,150,0.00833333,NA,1,NA,0,1
MTLP01000002.1-464896,150,0.0166667,NA,1,1239,1,0.5
MTLP01000002.1-430506,150,0.075,NA,3,1224,2,0.6
MTLP01000042.1-1939390,150,0.0333333,NA,1,1239,1,0.5
MTLP01000032.1-624566,150,0.0166667,NA,1,1117,1,0.5
MTLP01000007.1-665183,150,0.025,NA,1,203691,1,0.5
MTLP01000012.1-400971,150,0.0166667,NA,1,1239,1,0.5
MTLP01000042.1-650022,150,0.075,NA,3,1224,2,0.6
MTLP01000002.1-49207,150,0.00833333,NA,1,NA,0,1
MTLP01000002.1-594228,150,0.233333,28890,22,1224,3,0.88
MTLP01000012.1-968482,150,0.0666667,1239,5,200783,1,0.833333
MTLP01000042.1-1129326,150,0.0666667,NA,3,1239,2,0.6
MTLP01000017.1-59979,150,0.208333,28890,23,976,1,0.958333
MTLP01000038.1-6612,150,0.0583333,NA,4,976,1,0.8
MTLP01000032.1-653026,150,0.0416667,NA,1,976,1,0.5
MTLP01000007.1-534057,150,0.433333,28890,47,1239,2,0.959184
MTLP01000027.1-27531,150,0.0916667,NA,4,976,3,0.571429
MTLP01000005.1-137932,150,0.15,28890,15,976,2,0.882353
