Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
NZ_LANF01000009.1-598392,150,0.0333333,NA,4,NA,0,1
NZ_LANF01000013.1-582395,150,0.0166667,NA,1,1239,1,0.5
NZ_LANF01000006.1-1341088,150,0.00833333,NA,1,NA,0,1
NZ_LANF01000009.1-713793,150,0.133333,28890,13,1224,2,0.866667
NZ_LANF01000011.1-1150600,150,0.0416667,NA,2,201174,1,0.666667
NZ_LANF01000010.1-574164,150,0.8,28890,90,28889,4,0.957447
NZ_LANF01000014.1-411257,150,0.2,NA,6,201174,5,0.545455
NZ_LANF01000011.1-888676,150,0,NA,0,NA,0,0
NZ_LANF01000014.1-264474,150,0.0666667,NA,4,1224,3,0.571429
NZ_LANF01000019.1-743799,150,0.0583333,NA,3,1224,2,0.6
NZ_LANF01000019.1-126045,150,0.0416667,NA,2,201174,1,0.666667
NZ_LANF01000009.1-921477,150,0.65,28890,76,201174,1,0.987013
NZ_LANF01000018.1-742321,150,0.15,28890,16,1239,1,0.941176
NZ_LANF01000019.1-2036889,150,0.0583333,NA,2,28890,2,0.5
NZ_LANF01000011.1-1488103,150,0.0666667,NA,5,1224,2,0.714286
NZ_LANF01000019.1-1502014,150,0.0166667,NA,1,1239,1,0.5
NZ_LANF01000014.1-494335,150,0.0166667,NA,1,1239,1,0.5
NZ_LANF01000011.1-197495,150,0.283333,28890,32,201174,2,0.941176
NZ_LANF01000004.1-702022,150,0.00833333,NA,1,NA,0,1
NZ_LANF01000005.1-13232,150,0.966667,28890,113,201174,1,0.991228
NZ_LANF01000004.1-625460,150,0.366667,28890,32,28889,4,0.888889
NZ_LANF01000011.1-412458,150,0.0333333,NA,2,1239,2,0.5
NZ_LANF01000013.1-682311,150,2.93333,28890,352,NA,0,1
NZ_LANF01000013.1-399410,150,0.333333,28890,38,1239,1,0.974359
NZ_LANF01000004.1-843759,150,0.00833333,NA,1,NA,0,1
NZ_LANF01000011.1-1305889,150,0.0333333,NA,2,1224,1,0.666667
NZ_LANF01000011.1-1923992,150,0.025,NA,1,201174,1,0.5
NZ_LANF01000006.1-518545,150,0.191667,28890,22,1117,1,0.956522
NZ_LANF01000011.1-814716,150,0.1,28890,11,1224,1,0.916667
NZ_LANF01000019.1-2212093,150,0.975,28890,112,1224,2,0.982456
NZ_LANF01000011.1-2122448,150,0.133333,28890,15,1224,1,0.9375
NZ_LANF01000007.1-234089,150,0.0416667,NA,2,1817917,1,0.666667
NZ_LANF01000019.1-809637,150,0.0166667,NA,1,201174,1,0.5
NZ_LANF01000011.1-23044,150,0.35,28890,42,NA,0,1
NZ_LANF01000009.1-1155958,150,0.0166667,NA,2,NA,0,1
NZ_LANF01000019.1-883006,150,0.0666667,NA,4,1224,2,0.666667
NZ_LANF01000009.1-1182039,150,0.0916667,NA,4,1224,4,0.5
NZ_LANF01000019.1-1144719,150,0.25,28890,27,1224,2,0.931034
NZ_LANF01000019.1-241774,150,0.133333,28890,12,976,2,0.857143
NZ_LANF01000011.1-196179,150,0.025,NA,1,28890,1,0.5
NZ_LANF01000009.1-847675,150,1.36667,28890,147,1239,4,0.97351
NZ_LANF01000014.1-69407,150,0.075,NA,3,976,3,0.5
NZ_LANF01000011.1-1567524,150,0.3,28890,32,1224,4,0.888889
NZ_LANF01000007.1-351384,150,0.175,28890,18,1224,1,0.947368
NZ_LANF01000011.1-1560426,150,0.0166667,NA,2,NA,0,1
NZ_LANF01000013.1-253889,150,0.275,28890,32,1239,1,0.969697
NZ_LANF01000013.1-219499,150,0.00833333,NA,1,NA,0,1
NZ_LANF01000004.1-724390,150,0.291667,28890,33,201174,1,0.970588
NZ_LANF01000010.1-643014,150,0.0166667,NA,2,NA,0,1
NZ_LANF01000011.1-2006176,150,0.0666667,NA,5,1224,3,0.625
NZ_LANF01000007.1-147971,150,0.35,28890,35,1224,5,0.875
NZ_LANF01000006.1-1294022,150,0.108333,28890,9,1224,2,0.818182
NZ_LANF01000014.1-438200,150,0.691667,28890,78,201174,3,0.962963
